channel_id,all_comment_count,eng_comment_count
UCCQi3X-PJGmd6DrPN9Rb6iw,32,27
UCCRFU6puznGXVKW3Ad_gKXg,40,17
UCCV5kpsPAE2M0KdrSws5R1g,25,14
UCCVclxslsRWT3LHFu8mQhNA,34,25
UCCXoCcu9Rp7NPbTzIvogpZg,24,18
UCCYg74-k06_SmH69neYxfvA,37,19
UCCZGYab5SpD0I7Z5JqJZgww,63,33
UCCbv0qixG-cyokxEY3kELtg,30,22
UCCcl8RCA9wia6TsKUnc-6sQ,11,9
UCCeCpXN7FaJUFBfhLtQYHdw,20,0
UCCfKlFlKYBxZ-UU2dWc17IQ,28,2
UCCfqyGl3nq_V0bo64CjZh8g,34,25
UCCg7II9RHL8Y-GS9NnFQy8g,55,11
UCCgFcKM61Y6qa4ArTTvVWqg,26,2
UCChJlbkHREctAZqoFyfhDeA,30,0
UCChWvNbRQYQ5fj1Nj3RQu8Q,37,24
UCChmJrVa8kDg05JfCmxpLRw,24,23
UCCj956IF62FbT7Gouszaj9w,361,230
UCCjyq_K1Xwfg8Lndy7lKMpA,13,8
UCCk88z7a-Gs6IEAO3fp-UZQ,26,19
UCCktnahuRFYIBtNnKT5IYyg,64,49
UCClfFsWcT3N2I7VTXXyt84A,52,39
UCCtgqKwqf4akt_gSElDqXdg,57,35
UCCu5wtZ5uOWZp_roz7wHPfg,63,43
UCCv191RGdi3HxhhXcB0PMbQ,29,18
UCCveE6GvM-l73rMlv1sAKIA,34,4
UCCysh95qsIUCPb-61VBag8A,18,5
UCCz4pq2xBQgFAcYqx-ElFuA,6,3
UCCzY4KCWLjVzTZfIY0xZtog,33,14
UCCzmXhARScj7wtJ0f2co64A,26,12
UCD-vc2iGxEcLfWhwyJPqe_w,23,13
UCD2pGFLU2sDnlGIPl8U9eEA,31,23
UCD5B6VoXv41fJ-IW8Wrhz9A,31,22
UCD6YMmVyF50oiwXisgbF-2w,28,3
UCD7e_ETGAyGU61vwnknZM7A,17,14
UCDETFHKteb-C_EaXmRKvP4w,39,31
UCDFaGHrYtg_U72sTTU5XDcg,28,22
UCDK4NDcmqgUlSuYoNac0VzA,29,5
UCDOJLR72Jj-lEviJdwU4G6g,25,18
UCDPk9MG2RexnOMGTD-YnSnA,86,47
UCDQ0pYBbR3rGWnn-BZJ9lXA,84,41
UCDQxJLtUe4ixRPgqTYi6PgQ,32,23
UCDTAy8OylJsSxViF6oRiR8A,39,33
UCDVYQ4Zhbm3S2dlz7P1GBDg,28,15
UCDYaeNvP7JDpKvozANiw5fA,31,15
UCDdBzyuqG1oWoQmf7Ih9isw,12,1
UCDeH8IeKqvzn8x_iZPAuIfA,35,3
UCDfYcuNw-ff952Xn0VDWwDw,31,16
UCDgUAAHgsV2fFZQm2fIWBnA,29,24
UCDiFRMQWpcp8_KD4vwIVicw,32,20
UCDjpp9fOeGLy754KJvRl10w,57,47
UCDka4-WyKGDSS8j2AR18K_Q,36,0
UCDl5YK8CD2fY267VdDHLgfg,94,70
UCDqQA5QPBQBvLy6TSaG-0Sg,38,30
UCDrK0DHakytP0-c43kPit-g,26,24
UCDrQaGaHpOav5y7m1SCSJRg,2,2
UCDtqUmBIjQWbe9rpnyOQ_Gg,7,7
UCE0-Bxu88d4bsGCv34zvtbA,29,16
UCE28rwYoaV7jvU6GVzdu_GQ,67,43
UCE46LtAJ9BpCWOunD_ZwY5Q,37,19
UCE5mQnNl8Q4H2qcv4ikaXeA,32,19
UCE5wDMNEZElnuRDk6TDPOYg,25,20
UCE7spuKzxP1k8A-XucxxUAQ,33,25
UCEABeKNML9Yy3mQIJRPkKrg,14,3
UCEBb1b_L6zDS3xTUrIALZOw,98,69
UCEEi1lDCkKi1ukmTAgc9-zA,22,7
UCEGC6iQjjJNCLkvLdi12BIg,36,16
UCEGJtJpwHlpUoMlAOlCWdAA,61,38
UCEH0dQo-8q0jQQdPfZYDF3Q,23,17
UCEJdOGwm6CNtc_kIa_Qjy6A,36,24
UCELts_uwGFF5uwaHIFSp41A,21,13
UCENRvVys9nMpQpENGeL8NEg,25,19
UCEOhpXTO8CwrpkBTxOOu4bw,58,28
UCEP0Zgg1BuAExe6x6fPSPqQ,26,22
UCERpfFL1aRqsrJhmKkGAEPA,95,67
UCET00YnetHT7tOpu12v8jxg,37,29
UCEVZNpzM9oDegvplv5Z36Sw,34,24
UCEWhQG9S3mIe0VTYUcqhzgA,32,12
